item_id,category_code,std_name,std_spec,std_unit,part_type,maker,maker_pn,supplier,department,model_ref,stock_prev,stock_current,safety_stock,moq,lead_time,source_file,source_sheet,source_row,original_name_a,original_name_bc,mapping_status,notes,created_at
RM-000439,RM,"센서 내장재 상단 45 * 55.5 * 2T, 접착 O","45 * 55.5 * 2T, 접착 O",,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,442,센서 내장재 상단,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000440,RM,"센서 내장재 중간 45 * 55.5 * 2T, 접착 X","45 * 55.5 * 2T, 접착 X",,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,443,센서 내장재 중간,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000441,RM,센서 내장재 하단 45 * 55.5 * 8T,45 * 55.5 * 8T,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,444,센서 내장재 하단,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000457,RM,무지 박스 4개 475 * 295 * 430(H)mm,475 * 295 * 430(H)mm,,BOX,,,박스바다,,,0.0,,,,,A,26.03월,460,무지 박스 4개,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000464,RM,제품박스 좁은 스티로폼 42.5 * 27.5 * 3T,42.5 * 27.5 * 3T,,스티로폼,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,467,제품박스 좁은 스티로폼,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000465,RM,제품박스 넒은 스티로폼 42.5 * 55 * 3.5T,42.5 * 55 * 3.5T,,스티로폼,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,468,제품박스 넒은 스티로폼,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000467,RM,내부폼 (가교 PAD) SET,,,내부폼,,,에이팩산업,,,0.0,,,,,A,26.03월,470,내부폼 (가교 PAD) SET,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000477,RM,제품 어깨끈 구형,구형,,숄더스트랩,,,굿모닝코리아유통,,,77.0,,,,,A,26.03월,480,제품 어깨끈,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000501,RM,SUS PLATE,,,AL 스티커,,,에덴상공사,,,0.0,,,,,A,26.03월,504,SUS PLATE,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000504,RM,손잡이 에폭시 스티커,,,에폭시 스티커,,,거광에폭시,,,0.0,,,,,A,26.03월,507,손잡이 에폭시 스티커,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000505,RM,패드,,,패드,,,가온패드,,,0.0,,,,,A,26.03월,508,패드,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000521,RM,볼트마개,,,볼트캡,,,직구,,,0.0,,,,,A,26.03월,524,볼트마개,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000523,RM,공 CD,,,ABS,,,제이디자인,,,0.0,,,,,A,26.03월,526,공 CD,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000525,RM,틸트 암 부쉬,,,ABS,,,에이스힌지텍,,,0.0,,,,,A,26.03월,528,틸트 암 부쉬,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000526,RM,스탠드 부속품 (바-부쉬),,,ABS,,,에이스힌지텍,,,7.0,,,,,A,26.03월,529,스탠드 부속품 (바-부쉬),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000527,RM,스탠드 부속품 (바-부쉬링),,,SUS,,,에이스힌지텍,,,10.0,,,,,A,26.03월,530,스탠드 부속품 (바-부쉬링),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000528,RM,스탠드 브라켓(암연결용),,,브라켓,,,에이스힌지텍,,,0.0,,,,,A,26.03월,531,스탠드 브라켓(암연결용),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000529,RM,스탠드 브라켓(제품용),,,브라켓,,,다우정밀,,,0.0,,,,,A,26.03월,532,스탠드 브라켓(제품용),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000533,RM,배터리 거치대 사출 SETS,,,ABS 난연,,,다성 ENG,,,0.0,,,,,A,26.03월,536,배터리 거치대 사출 SETS,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000534,RM,배터리 거치대용 신주핀,,,신주,,,다우정밀,,,0.0,,,,,A,26.03월,537,배터리 거치대용 신주핀,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000536,RM,스탠드 브라켓 족의학용,,,브라켓,,,제이케이시스템,,,0.0,,,,,A,26.03월,539,스탠드 브라켓 족의학용,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000549,RM,각도기 홀더,,,ABS 난연,,,제이케이시스템,,,0.0,,,,,A,26.03월,552,각도기 홀더,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000551,RM,AlmyT STAND BODY SET,,,완제품,,,에이스힌지텍,,,0.0,,,,,A,26.03월,554,AlmyT STAND BODY SET,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
