item_id,source_file,source_sheet,source_row,original_name
RM-000163,A,26.03월,166,에이밍 하네스 1번
RM-000163,B,조립 자재,358,CTR+Power BD 2핀 (코쿤 에이밍라이트용 하네스 1번 ) YHM025-02R 210mm
RM-000164,A,26.03월,167,에이밍 하네스 2번
RM-000164,B,조립 자재,359,LED BD 2핀 (코쿤 에이밍라이트용 하네스 2번)  YHM025-02R 180mm
RM-000165,A,26.03월,168,OLED PANEL
RM-000165,B,조립 자재,277,OLED PANEL
RM-000166,A,26.03월,169,TOP BODY
RM-000166,B,조립 자재,78,TOP BODY
RM-000167,A,26.03월,170,BOTTOM BODY
RM-000167,B,조립 자재,482,Bottom Body _ 블랙 샌딩
RM-000168,A,26.03월,171,OLED GUIDE
RM-000168,B,조립 자재,278,OLED GUIDE 사출 
RM-000169,A,26.03월,172,POWER BUTTON
RM-000169,B,조립 자재,8,POWER BUTTON
RM-000170,A,26.03월,173,BUTTON INDICATOR
RM-000170,B,조립 자재,286,BUTTON INDICATOR
RM-000171,A,26.03월,174,TOUCH DUMMY
RM-000171,B,조립 자재,287,TOUCH DUMMY
RM-000172,A,26.03월,175,LOCK KNOB
RM-000172,B,조립 자재,289,LOCK KNOB 
RM-000173,A,26.03월,176,LOCK INNER
RM-000173,B,조립 자재,290,LOCK INNER 
RM-000174,A,26.03월,177,FRONT_S (18cm)
RM-000174,B,조립 자재,313,FRONT_S (18cm) 
RM-000175,A,26.03월,178,FRONT_L (20cm)
RM-000175,B,조립 자재,316,FRONT_L (20cm) 
RM-000176,A,26.03월,179,FRONT_CAP
RM-000176,B,조립 자재,317,FRONT_CAP
RM-000177,A,26.03월,180,에이밍 앞 사출
RM-000177,B,조립 자재,73,컬리메이터 사출 ASS'Y 에이밍 적용
RM-000178,A,26.03월,181,CONE GUIDE_S (18cm)
RM-000178,B,조립 자재,314,CONE GUIDE_S (18cm)
RM-000179,A,26.03월,182,CONE GUIDE_L (20cm)
RM-000179,B,조립 자재,315,CONE GUIDE_L (20cm)
RM-000180,A,26.03월,183,HAND BODY
RM-000180,B,조립 자재,293,HAND BODY 사출 
RM-000181,A,26.03월,184,HAND TOP COVER
RM-000181,B,조립 자재,294,HAND TOP COVER 사출 
RM-000182,A,26.03월,185,BAT BOTTOM
RM-000182,B,조립 자재,301,BAT BOTTOM 
RM-000183,A,26.03월,186,CRADLE BODY BUTTON X
RM-000183,B,조립 자재,305,CRADLE BODY 사출
RM-000184,A,26.03월,187,CRADLE BOTTOM
RM-000184,B,조립 자재,306,CRADLE BOTTOM 사출 
RM-000185,A,26.03월,188,CRADLE FRAME
RM-000185,B,조립 자재,307,CRADLE FRAME
RM-000186,A,26.03월,189,SHOT BUTTON
RM-000186,B,조립 자재,297,SHOT BUTTON 사출 
RM-000187,A,26.03월,190,SHOT PCB GUIDE
RM-000187,B,조립 자재,298,SHOT PCB GUIDE 사출 
RM-000188,A,26.03월,191,SLIDE SWITCH
RM-000188,B,조립 자재,493,Slide Switch Cap _ 레드무광 도색
